Story,File,en,pt ,es,it,fr,de,ja,HIRAGANA,ROMAJI
1,6,BATHROOM   ,BANHEIRO,BAÑO  ,BAGNO  ,SALLE DE BAIN  ,BAD  ,お風呂,おふろ,BASUR?MU
1,7,LEMON   ,LIMÃO,LIMÓN  ,LIMONE  ,CITRON  ,ZITRONE  ,レモン,レモン,REMON
1,8,SQUEEZE LEMON  ,ESPREMER LIMÃO,EXPRIMIR LIMÓN  ,SPREMERE LIMONE  ,PRESSE CITRON  ,ZITRONE AUSDRÜCKEN  ,レモンを絞る,レモンをしぼる,REMON O SHIBORU
1,9,TOOTHPASTE   ,PASTA DE DENTES,PASTA DE DIENTES,DENTIFRICIO,DENTIFRICE,ZAHNPASTA,歯磨き粉,はみがきこ,HAMIGAKIKO
2,1,BOY  ,MENINO  ,NIÑO  ,BAMBINO  ,GARÇON  ,JUNGE  ,男の子,おとこのこ,OTOKO NOKO  
2,2,HAND  ,MÃO  ,MANO  ,MANO  ,MAIN  ,HAND  ,手,て,TE   
2,3,HANDS  ,MÃOS  ,MANOS  ,MANI  ,MAINS  ,HÄNDE  ,両手,りょうて,RY?TE   
2,4,DIRTY-CLEAN HAND  ,MÃO SUJA-LIMPA  ,MANO SUCIA-LIMPIA  ,MANO SPORCA-PULITA  ,MAIN SALE-PROPRE  ,SCHMUTZIG-REINE HAND  ,汚れた手‐きれいな手,よごれたて‐きれいなて,YOGORETA TE- KIREINA TE
2,5,SINK  ,PIA  ,LAVABO  ,LAVABO  ,ÉVIER  ,SINK  ,洗面台,せんめんだい,SENMENDAI   
2,6,FAUCET  ,TORNEIRA  ,GRIFO  ,RUBINETTO  ,ROBINET  ,WASSERHAHN  ,蛇口,じゃぐち,JAGUCHI   
2,7,WALK  ,CAMINHAR  ,CAMINAR  ,CAMMINARE  ,MARCHER  ,GEHEN  ,歩く,あるく,ARUKU   
2,8,WALK TO THE SINK  ,CAMINHAR ATÉ A PIA  ,CAMINAR AL LAVABO  ,CAMMINARE AL LAVABO  ,MARCHER JUSQU'À L'ÉVIER  ,ZUM SINK GEHEN  ,洗面台まで歩く,せんめんだいまであるく,SENMENDAI MADEARUKU  
2,9,TURN ON THE FAUCET  ,LIGAR TORNEIRA  ,ENCENDER GRIFO  ,ACCENDERE RUBINETTO  ,ALLUMER ROBINET  ,WASSERHAHN AN  ,蛇口をひねる,じゃぐちをひねる,JAGUCHI O HINERU  
2,10,BOOK  ,LIVRO  ,LIBRO  ,LIBRO  ,LIVRE  ,BUCH  ,本,ほん,HON   
2,11,PICK UP BOOK  ,PEGAR LIVRO  ,AGARRAR LIBRO  ,PRENDERE LIBRO  ,PRENDRE LIVRE  ,BUCH NEHMEN  ,本を取る,ほんをとる,HON OTORU  
2,12,PUT DOWN BOOK  ,COLOCAR LIVRO,DEJAR LIBRO  ,POSARE LIBRO  ,POSER LIVRE  ,BUCH ABLEGEN  ,本を置く,ほんをおく,HON OOKU  
2,13,SOAP  ,SABÃO  ,JABÓN  ,SAPONE  ,SAVON  ,SEIFE  ,石鹸,せっけん,SEKKEN   
2,15,PICK UP THE SOAP  ,PEGAR SABÃO  ,AGARRAR JABÓN  ,PRENDERE SAPONE  ,PRENDRE SAVON  ,SEIFE NEHMEN  ,石鹸を取る,せっけんをとる,SEKKEN OTORU  
2,16,PUT DOWN SOAP  ,COLOCAR SABÃO  ,DEJAR JABÓN  ,POSARE SAPONE  ,POSER SAVON  ,SEIFE ABLEGEN  ,石鹸を置く,せっけんをおく,SEKKEN OOKU  
2,17,WASH HANDS WITH SOAP  ,LAVAR MÃOS COM SABÃO  ,LAVAR MANOS CON JABÓN  ,LAVARE LE MANI CON SAPONE  ,LAVER LES MAINS AVEC SAVON  ,HÄNDE MIT SEIFE WASCHEN  ,石鹸で手を洗う,せっけんでてをあらう,SEKKEN DETE O ARAU
2,18,RINSE HANDS  ,ENXAGUAR MÃOS  ,ENJUAGAR MANOS  ,RISCIACQUARE LE MANI  ,RINCER LES MAINS  ,HÄNDE SPÜLEN  ,手をすすぐ,てをすすぐ,TE OSUSUGU  
2,20,TURN OFF THE FAUCET  ,DESLIGAR TORNEIRA  ,APAGAR GRIFO  ,SPEGNERE RUBINETTO  ,ÉTEINDRE ROBINET  ,WASSERHAHN AUS  ,蛇口を止める,じゃぐちをとめる,JAGUCHI OSHIMERU  
2,21,TOWEL  ,TOALHA  ,TOALLA  ,ASCIUGAMANO  ,SERVIETTE  ,HANDTUCH  ,タオル,タオル,TAORU   
2,22,GET TOWEL  ,PEGAR TOALHA  ,AGARRAR TOALLA  ,PRENDERE ASCIUGAMANO  ,PRENDRE SERVIETTE  ,HANDTUCH NEHMEN  ,タオルを取る,タオルをとる,TAORU OTORU  
2,23,DRY AND WET TOWELS  ,TOALHAS SECAS E MOLHADAS  ,TOALLAS SECAS Y MOJADAS  ,ASCIUGAMANI BAGNATI E ASCIUTTI  ,SERVIETTES HUMIDES ET SÈCHES  ,TROCKENE UND NASSE HANDTÜCHER  ,乾いたタオルと濡れたタオル,かわいたタオルとぬれたタオル,KAWAITA TAORUTO NURETA TAORU
2,24,DRY HANDS WITH TOWEL  ,SECAR MÃOS COM TOALHA  ,SECAR MANOS CON TOALLA  ,ASCIUGARE LE MANI CON ASCIUGAMANO  ,SÉCHER LES MAINS AVEC SERVIETTE  ,HÄNDE MIT HANDTUCH TROCKNEN  ,手をタオルで拭く,てをタオルでふく,TAORU DETE O KAWAKASU
2,26,WHISTLE,ASSOBIAR,SILBAR,FISCHIARE,SIFFLER,PFEIFEN,口笛を吹く,くちぶえをふく,KUCHIBUE OFUKU  
3,1,TABLE,MESA,MESA,TAVOLO,TABLE,TISCH,テーブル,テーブル,TEEBURU
3,3,SPILL MILK ON TABLE,DERRAMAR LEITE NA MESA,DERRAMAR LECHE EN LA MESA,VERSARE IL LATTE SUL TAVOLO,RENVERSEZ DU LAIT SUR LA TABLE,MILCH AUF DEN TISCH VERSCHÜTTEN,テーブルに牛乳をこぼす,テーブルにぎゅうにゅうをこぼす,TEEBURU NI GYUUNYUU O KOBOSU
3,21,WET TOWEL,TOALHA MOLHADA,TOALLA MOJADA,ASCIUGAMANO BAGNATO,SERVIETTE MOUILLÉE,NASSER HANDTUCH,濡れたタオル,ぬれたタオル,NURETA TAORU
3,11,MILK,LEITE,LECHE,LATTE,LAIT,MILCH,牛乳,ぎゅうにゅう,GYUUNYUU
3,12,DRINK MILK,BEBER LEITE,BEBER LECHE,BERE IL LATTE,BOIRE DU LAIT,MILCH TRINKEN,牛乳を飲む,ぎゅうにゅうをのむ,GYUUNYUU O NOMU
3,14,FAUCET,TORNEIRA,GRIFO,RUBINETTO,ROBINET,WASSERHAHN,蛇口,じゃぐち,JAGUCHI
3,13,DRINK MILK WITH STRAW,BEBER LEITE COM CANUDO,BEBER LECHE CON PAJITA,BERE IL LATTE CON CANNUCCIA,BOIRE DU LAIT AVEC UNE PAILLE,MILCH MIT STROHHALM TRINKEN,ストローで牛乳を飲む,ストローでぎゅうにゅうをのむ,SUTOROO DE GYUUNYUU O NOMU
3,10,TWIST TOWEL,TORCER A TOALHA,ESCURRIR LA TOALLA,STRIZZARE L’ASCIUGAMANO,TORDRE LA SERVIETTE,HANDTUCH WRINGEN,タオルを絞る,タオルをしぼる,TAORU O SHIBORU
3,16,TURN ON FAUCET,ABRIR TORNEIRA,ABRIR EL GRIFO,APRIRE IL RUBINETTO,OUVRIR LE ROBINET,WASSERHAHN AUFDREHEN,蛇口を開ける,じゃぐちをあける,JAGUCHI O AKERU
3,15,TURN OFF FAUCET,FECHAR TORNEIRA,CERRAR EL GRIFO,CHIUDERE IL RUBINETTO,FERMER LE ROBINET,WASSERHAHN ZUDREHEN,蛇口を閉める,じゃぐちをしめる,JAGUCHI O SHIMERU
3,18,KITCHEN,COZINHA,COCINA,CUCINA,CUISINE,KÜCHE,キッチン,キッチン,KICCHIN
3,17,SINK,PIA,FREGADERO,LAVANDINO,ÉVIER,SPÜLE,流し台,ながしだい,NAGASHIDAI
3,20,RUN,CORRER,CORRER,CORRERE,COURIR,LÄUFEN,走る,はしる,HASHIRU
3,23,SHE – HE,ELA / ELE,ELLA / ÉL,LEI / LUI,ELLE / IL,SIE / ER,彼女 / 彼,かのじょ / かれ,KANOJO / KARE
3,19,ON - IN,EM CIMA - DENTRO,ENCIMA - DENTRO,SU - DENTRO,SUR - DANS,AUF - IN,上 - 中,うえ - なか,UE - NAKA
3,22,DON'T SPILL MILK ON THE TABLE,NÃO DERRAME LEITE NA MESA,NO DERRAMES LECHE EN LA MESA,NON VERSARE IL LATTE SUL TAVOLO,NE RENVERSEZ PAS DE LAIT SUR LA TABLE,NICHT DIE MILCH AUF DEN TISCH VERSCHÜTTEN,テーブルに牛乳をこぼさないで,テーブルにぎゅうにゅうをこぼさないで,TEEBURU NI GYUUNYUU O KOBOSANAI DE
3,25,MOTHER SAYS - DON'T SPILL MILK ON THE TABLE,MÃE DIZ - NÃO DERRAME LEITE NA MESA,MAMÁ DICE - NO DERRAMES LECHE EN LA MESA,LA MADRE DICE - NON VERSARE IL LATTE SUL TAVOLO,MAMAN DIT - NE RENVERSEZ PAS DE LAIT SUR LA TABLE,MUTTER SAGT - NICHT DIE MILCH AUF DEN TISCH VERSCHÜTTEN,母が言います - テーブルに牛乳をこぼさないで,ははがいいます - テーブルにぎゅうにゅうをこぼさないで,HAHA GA IIMASU - TEEBURU NI GYUUNYUU O KOBOSANAI DE
3,24,WALK,ANDAR,CAMINAR,CAMMINARE,MARCHER,GEHEN,歩く,あるく,ARUKU
3,5,GET TOWEL,PEGAR TOALHA,COGER TOALLA,PRENDERE L’ASCIUGAMANO,PRENDRE LA SERVIETTE,HANDTUCH HOLEN,タオルを取る,タオルをとる,TAORU O TORU
3,6,SHE GETS TOWEL,ELA PEGA A TOALHA,ELLA COGE LA TOALLA,LEI PRENDE L’ASCIUGAMANO,ELLE PREND LA SERVIETTE,SIE HOLT DAS HANDTUCH,彼女がタオルを取る,かのじょがタオルをとる,KANOJO GA TAORU O TORU
3,7,CLEAN TABLE WITH TOWEL,LIMPAR A MESA COM A TOALHA,LIMPIAR LA MESA CON LA TOALLA,PULIRE IL TAVOLO CON L’ASCIUGAMANO,NETTOYER LA TABLE AVEC LA SERVIETTE,TISCH MIT HANDTUCH REINIGEN,タオルでテーブルを拭く,タオルでテーブルをふく,TAORU DE TEEBURU O FUKU
3,8,HANG TOWEL,PENDURAR TOALHA,COLGAR TOALLA,APPENDERE L’ASCIUGAMANO,ACCROCHER LA SERVIETTE,HANDTUCH AUFHÄNGEN,タオルを掛ける,タオルをかける,TAORU O KAKERU
4,1,VITAMINS,VITAMINAS,VITAMINAS,VITAMINE,VITAMINES,VITAMINE,ビタミン,ビタミン,BITAMIN
4,2,GET VITAMINS,PEGAR VITAMINAS,COGER VITAMINAS,PRENDERE LE VITAMINE,PRENDRE LES VITAMINES,VITAMINE HOLEN,ビタミンを取る,ビタミンをとる,BITAMIN O TORU
4,3,TAKE OFF LID,TIRAR TAMPA,QUITAR TAPA,TOGLIERE IL COPERCHIO,ENLEVER LE COUVERCLE,DECKEL ABNEHMEN,蓋を取る,ふたをとる,FUTA O TORU
4,4,OPEN VITAMINS,ABRIR VITAMINAS,ABRIR VITAMINAS,APRIRE LE VITAMINE,OUVRIR LES VITAMINES,VITAMINE ÖFFNEN,ビタミンを開ける,ビタミンをあける,BITAMIN O AKERU
4,5,HE GETS ONE VITAMIN,ELE PEGA UMA VITAMINA,ÉL COGE UNA VITAMINA,LUI PRENDE UNA VITAMINA,IL PREND UNE VITAMINE,ER NIMMT EINE VITAMINE,彼がビタミンを取る,かれがビタミンをとる,KARE GA BITAMIN O TORU
4,6,PUTS BACK LID,COLOCAR TAMPA DE VOLTA,PONER TAPA DE NUEVO,RIPORRE IL COPERCHIO,REMETTRE LE COUVERCLE,DECKEL ZURÜCKLEGEN,蓋を戻す,ふたをもどす,FUTA O MODOSU
4,7,PUT DOWN VITAMINS,COLOCAR VITAMINAS,PONER VITAMINAS,METTERE GIÙ LE VITAMINE,POSER LES VITAMINES,VITAMINE HINLEGEN,ビタミンを置く,ビタミンをおく,BITAMIN O OKU
4,8,TAKE A VITAMIN,TOMAR UMA VITAMINA,TOMAR UNA VITAMINA,PRENDERE UNA VITAMINA,PRENDRE UNE VITAMINE,EINE VITAMINE NEHMEN,ビタミンを飲む,ビタミンをのむ,BITAMIN O NOMU
4,9,GLASS,COPO,VASO,BICCHIERE,VERRE,GLAS,コップ,コップ,KOPPU
4,10,WATER,ÁGUA,AGUA,ACQUA,EAU,WASSER,水,みず,MIZU
4,11,GLASS OF WATER,COPO DE ÁGUA,VASO DE AGUA,BICCHIERE D’ACQUA,VERRE D’EAU,GLAS WASSER,コップ一杯の水,コップいっぱいのみず,KOPPU IPPAI NO MIZU
4,12,DRINK WATER,BEBER ÁGUA,BEBER AGUA,BERE ACQUA,BOIRE DE L’EAU,WASSER TRINKEN,水を飲む,みずをのむ,MIZU O NOMU
4,13,CHOKE,ENGASGAR,ATRAGANTARSE,SOFFOCARE,ÉTOUFFER,ERSTICKEN,喉が詰まる,のどがつまる,NODO GA TSUMARU
4,14,MORE,MAIS,MÁS,DI PIÙ,PLUS,MEHR,もっと,もっと,MOTTO
4,15,LESS,MENOS,MENOS,MENO,MOINS,WENIGER,少ない,すくない,SUKUNAI
4,16,SWALLOW,ENGOLIR,TRAGAR,INGHIOTTIRE,AVALER,SCHLUCKEN,飲み込む,のみこむ,NOMIKOMU
5,1,BREAD,PÃO,PAN,PANE,PAIN,BROT,パン,パン,PAN
5,2,TOAST,TORRADA  ,TOSTADA,TOAST,TOAST,TOAST,トースト,トースト,TOOSUTO
5,3,TOASTER,TORRADEIRA,TOSTADORA,TOSTAPANE,GRILLE‑PAIN,TOASTER,トースター,トースター,TOOSUTAA
5,4,PLATE,PRATO,PLATO,PIATTO,ASSIETTE,TELLER,皿,さら,SARA
5,5,BUTTER,MANTEIGA,MANTEQUILLA,BURRO,BEURRE,BUTTER,バター,バター,BATAA
5,6,KNIFE,FACA,CUCHILLO,COLTELLO,COUTEAU,MESSER,ナイフ,ナイフ,NAIFU
5,7,JAM,GELEIA,MERMELADA,MARMELLATA,CONFITURE,MARMELADE,ジャム,ジャム,JAMU
5,8,GET BREAD,PEGAR PÃO,TOMAR PAN,PRENDERE PANE,PRENDRE PAIN,BROT NEHMEN,パンを取る,パンをとる,PAN O TORU
5,9,PUT SLICE OF BREAD IN TOASTER,COLOCAR FATIA DE PÃO NO TORRADEIRA,PONER REBANADA DE PAN EN LA TOSTADORA,METTERE FETTA DI PANE NEL TOSTAPANE,METTRE UNE TRANCHE DE PAIN DANS LE GRILLE‑PAIN,SCHEIBE BROT IN DEN TOASTER LEGEN,トースターにパンのスライスを入れる,トースターにパンのスライスをいれる,TOOSUTAA NI PAN NO SURAISU O IRERU
5,10,TURN ON TOASTER,LIGAR TORRADEIRA,ENCENDER TOSTADORA,ACCENDERE TOSTAPANE,ALLUMER GRILLE‑PAIN,TOASTER EINSCHALTEN,トースターをオンにする,トースターをオンにする,TOOSUTAA O ON NI SURU
5,11,WAIT,ESPERAR,ESPERAR,ASPETTARE,ATTENDRE,WARTEN,待つ,まつ,MATSU
5,12,TOAST IS READY,A TORRADA ESTÁ PRONTA ,LA TOSTADA ESTÁ LISTA ,IL TOAST È PRONTO ,LE TOAST EST PRÊT ,DER TOAST IST FERTIG ,トーストができました ,トーストが出来ました ,TOOSUTO GA DEKIMASHITA
5,13,GET TOAST OUT OF TOASTER,PEGAR TORRADA DA TORRADEIRA,TOMAR LA TOSTADA DE LA TOSTADORA ,PRENDERE IL TOAST DAL TOSTAPANE ,PRENDRE LE TOAST DU GRILLE-PAIN ,DEN TOAST AUS DEM TOASTER NEHMEN ,トーストをトースターから取る,トーストをトースターからとる,TOOSUTO O TOOSUTAA KARA TORU
5,14,PUT TOAST ON PLATE,COLOCAR TORRADA NO PRATO,PONER LA TOSTADA EN EL PLATO,METTERE TOAST SUL PIATTO,METTRE LE TOAST SUR L’ASSIETTE,DEN TOAST AUF DEN TELLER LEGEN,トーストを皿に置く,トーストをさらにおく,TOOSUTO O SARA NI OKU
5,15,GET KNIFE AND BUTTER,PEGAR FACA E MANTEIGA,TOMAR CUCHILLO Y MANTEQUILLA,PRENDERE COLTELLO E BURRO,PRENDRE COUTEAU ET BEURRE,MESSER UND BUTTER NEHMEN,ナイフとバターを取る,ナイフとバターをとる,NAIFU TO BATAA O TORU
5,16,SPREAD BUTTER ON TOAST,ESPALHAR MANTEIGA NA TORRADA,UNTAR MANTEQUILLA EN LA TOSTADA,SPALMARE BURRO SUL TOAST,ÉTALER DU BEURRE SUR LE TOAST,BUTTER AUF DEN TOAST STREICHEN,トーストにバターを塗る,トーストにバターをぬる,TOOSUTO NI BATAA O NURU
5,17,GET JAM,PEGAR GELEIA,TOMAR MERMELADA,PRENDERE MARMELLATA,PRENDRE CONFITURE,MARMELADE NEHMEN,ジャムを取る,ジャムをとる,JAMU O TORU
5,18,PUT JAM ON TOAST WITH SPOON,COLOCAR GELEIA NA TORRADA COM COLHER,PONER MERMELADA EN TOSTADA CON CUCHARA,METTERE MARMELLATA SUL TOAST CON CUCCHIAIO,METTRE CONFITURE SUR TOAST AVEC CUILLÈRE,MARMELADE MIT EINEM LÖFFEL AUF DEN TOAST GEBEN,スプーンでトーストにジャムを乗せる,スプーンでトーストにジャムをのせる,SUPUUN DE TOOSUTO NI JAMU O NOSERU
5,19,SPREAD JAM ON TOAST,ESPALHAR GELEIA NA TORRADA,UNTAR MERMELADA EN LA TOSTADA,SPALMARE MARMELLATA SUL TOAST,ÉTALER CONFITURE SUR TOAST,MARMELADE AUF TOAST STREICHEN,トーストにジャムを塗る,トーストにジャムをぬる,TOOSUTO NI JAMU O NURU
5,20,CUT TOAST,CORTAR A TORRADA,CORTAR LA TOSTADA,TAGLIARE TOAST,COUPER TOAST,TOAST SCHNEIDEN,トーストを切る,トーストをきる,TOOSUTO O KIRU
5,21,GET HALF A TOAST,PEGAR METADE DE UM TORRADA,TOMAR LA MITAD DE UNA TOSTADA,PRENDERE MEZZA FETTA DI TOAST,PRENDRE LA MOITIÉ D’UN TOAST,HALBE TOAST NEHMEN,トーストの半分を取る,トーストのはんぶんをとる,TOOSUTO NO HANBUN O TORU
5,22,BITE,MORDIDA,MORDISCO,MORSA,BOUCHÉE,BISS,かじる,かじる,KAJIRU
5,23,TAKE A BITE,DAR UMA MORDIDA,TOMAR UN MORDISCO,PRENDERE UN MORSO,PRENDRE UNE BOUCHÉE,EINEN BISS NEHMEN,ひとくち食べる,ひとくちたべる,HITOKUCHI TABERU
5,24,CHEW,MASTIGAR,MASTICAR,MASTICARE,MÂCHER,KAUEN,噛む,かむ,KAMU
6,1,WAKE UP,ACORDAR,DESPERTAR,SVEGLIARSI,SE RÉVEILLER,AUFWACHEN,起きる,おきる,OKIRU
6,2,GLASS,COPO,VASO,BICCHIERE,VERRE,GLAS,グラス,グラス,GURASU
6,3,GLASS OF WATER,COPO DE ÁGUA,VASO DE AGUA,BICCHIERE D’ACQUA,VERRE D’EAU,GLAS WASSER,水の入ったグラス,みずのはいったグラス,MIZU NO HAITTA GURASU
6,4,WALK,ANDAR,CAMINAR,CAMMINARE,MARCHER,GEHEN,歩く,あるく,ARUKU
6,5,WALK TO KITCHEN,ANDAR ATÉ A COZINHA,CAMINAR HASTA LA COCINA,CAMMINARE FINO IN CUCINA,MARCHER JUSQU’À LA CUISINE,ZUR KÜCHE GEHEN,キッチンまで歩く,キッチンまであるく,KICCHIN MADE ARUKU
6,6,COFFEE MACHINE,MÁQUINA DE CAFÉ,CAFETERA,MACCHINA DEL CAFFÈ,MACHINE À CAFÉ,KAFFEEMASCHINE,コーヒーマシン,コーヒーマシン,KOOHII MASHIN
6,7,COFFEE POT,CAFETEIRA,CAFETERA,CAFFETTIERA,CAFETIÈRE,KAFFEEKANNE,コーヒーポット,コーヒーポット,KOOHII POTTO
6,8,MILK,LEITE,LECHE,LATTE,LAIT,MILCH,ミルク,ミルク,MIRUKU
6,9,KITCHEN,COZINHA,COCINA,CUCINA,CUISINE,KÜCHE,キッチン,キッチン,KICCHIN
6,10,SUGAR,AÇÚCAR,AZÚCAR,ZUCCHERO,SUCRE,ZUCKER,砂糖,さとう,SATOU
6,11,FILL GLASS WITH WATER,ENCHER COPO COM ÁGUA,LLENAR VASO CON AGUA,RIEMPIRE BICCHIERE D’ACQUA,REMPLIR VERRE D’EAU,GLAS MIT WASSER FÜLLEN,グラスに水を入れる,グラスにみずをいれる,GURASU NI MIZU O IRERU
6,12,FILL COFFEE MACHINE WITH WATER,ENCHER A MÁQUINA DE CAFÉ COM ÁGUA,LLENAR LA CAFETERA CON AGUA,RIEMPIRE MACCHINA DEL CAFFÈ D’ACQUA,REMPLIR MACHINE À CAFÉ D’EAU,KAFFEEMASCHINE MIT WASSER FÜLLEN,コーヒーマシンに水を入れる,コーヒーマシンにみずをいれる,KOOHII MASHIN NI MIZU O IRERU
6,13,PUT COFFEE IN THE COFFEE FILTER,COLOCAR CAFÉ NO FILTRO,PONER CAFÉ EN FILTRO,METTERE CAFFÈ NEL FILTRO,METTRE CAFÉ DANS FILTRE,KAFFEE IN FILTER GEBEN,コーヒーフィルターにコーヒーを入れる,コーヒーフィルターにコーヒーをいれる,KOOHII FIRUTAA NI KOOHII O IRERU
6,14,POUR COFFEE INTO CUP,DESPEJAR CAFÉ NA XÍCARA,VERTIR CAFÉ EN TAZA,VERSARE CAFFÈ NELLA TAZZA,VERSER CAFÉ DANS TASSE,KAFFEE IN TASSE GIESSEN,カップにコーヒーを注ぐ,カップにコーヒーをそそぐ,KAPPU NI KOOHII O SOSOGU
6,15,TURN ON COFFEE MACHINE,LIGAR MÁQUINA DE CAFÉ,ENCENDER CAFETERA,ACCENDERE MACCHINA DEL CAFFÈ,ALLUMER MACHINE À CAFÉ,KAFFEEMASCHINE EINSCHALTEN,コーヒーマシンをオンにする,コーヒーマシンをオンにする,KOOHII MASHIN O ON NI SURU
6,16,POUR MILK INTO CUP,DESPEJAR LEITE NA XÍCARA,VERTIR LECHE EN TAZA,VERSARE LATTE NELLA TAZZA,VERSER LAIT DANS TASSE,MILCH IN TASSE GIESSEN,カップにミルクを注ぐ,カップにミルクをそそぐ,KAPPU NI MIRUKU O SOSOGU
6,17,POUR SUGAR,DESPEJAR AÇÚCAR,VERTIR AZÚCAR,VERSARE ZUCCHERO,VERSER SUCRE,ZUCKER EINFÜLLEN,砂糖を入れる,さとうをいれる,SATOU O IRERU
6,18,COFFEE SMELLS GOOD,CHEIRAR CAFÉ,OLER CAFÉ,ANNUSARE CAFFÈ,SENTIR CAFÉ,KAFFEE RIECHEN,コーヒーの香りを嗅ぐ,コーヒーのかおりをかぐ,KOOHII NO KAORI O KAGU
6,19,STIR COFFEE,MEXER CAFÉ,REMOVER CAFÉ,MESCOLARE CAFFÈ,REMUER CAFÉ,KAFFEE RÜHREN,コーヒーをかき混ぜる,コーヒーをかきまぜる,KOOHII O KAKIMAZERU
